amfi_code,alpha,beta
100016,0.03766095903586522,-3.3997164323093836e-06
100025,0.044818315138583635,-3.3770718127144e-06
100033,0.26513763294976106,1.19852368095744e-05
101206,0.2084638832063513,1.0627032523163577e-05
101207,0.10986145021983551,-4.983428560767387e-06
101208,0.06122876973199783,-6.172389506592562e-07
102885,0.1532967338395749,2.8517447224854624e-05
102886,0.03192179022619046,-7.302382343552434e-06
102887,0.14810164144013632,2.4964541553620494e-05
118632,0.2172378301218807,1.3735473143332956e-06
118633,0.15950537219038657,-7.2092709492735875e-06
118634,0.17855030924433077,-6.166188152947608e-07
118635,0.15245254378469922,-1.9476033084582558e-06
118636,0.04967364033576465,1.912627325651111e-06
119092,0.07280688625534465,-6.036840596409494e-06
119093,0.0761056787657296,1.2063897153168888e-05
119094,0.2548627791767758,6.6433865814595096e-06
119095,0.06797553326037893,-3.7847623024654286e-05
119120,0.05669673512017863,-1.1776029814946254e-06
119551,0.2221423476212144,1.5281716990304816e-05
119552,0.19184076651254145,1.0382317156683725e-05
119598,0.29514293226849303,1.2913569161170515e-05
119599,0.05145864988150833,-1.249213514712221e-06
120503,0.17479241469306583,1.7216209032625439e-06
120504,0.20293451322522393,1.6351469881022268e-05
120505,0.27824886410147365,2.4757676750530896e-05
120506,0.16866032864830818,-8.306621887534885e-06
120507,0.06718957546161722,4.4494286648776814e-07
120841,0.12420932914141217,1.2613604771213124e-05
120842,0.07467924324308288,6.739008738076047e-06
120843,0.26069258574047605,2.0470576025226028e-05
120844,0.06440459165072564,2.40383047175318e-07
125497,0.1695246831995745,1.594199883625913e-05
125498,0.11066738696945455,1.633260265517202e-05
148567,0.27890018238131786,-1.4324631583039166e-05
148568,0.21291563403491556,-8.589678643891722e-06
148569,0.2958614509435513,-2.1656877854961717e-05
149322,0.1403420187705693,-1.5013454919186106e-05
149323,0.2602038354528086,9.80470028282651e-06
149324,0.29600297161636324,8.470800185762732e-06
